COUNTRY,COURSE (SPECIALIZATION),FEES_category,FEES_Smoothed_ES,COURSE TYPE_M.ENG,COURSE TYPE_M.Sc,COURSE TYPE_MASTERS OF MANAGEMENT,COURSE TYPE_MBA
GERMANY,MBA in Sales & Marketing ,High,2.978971860704302,0,0,0,1
GERMANY,MBA in Banking,Medium,1.965854526232163,0,0,0,1
GERMANY,MBA in Business Administration,Low,0.922779162182606,0,0,0,1
GERMANY,MBA in Hospital/Healthcare Management,High,1.359368431353552,0,0,0,1
GERMANY,MBA in Human Resource Management,Medium,0.8170579384985727,0,0,0,1
GERMANY,MBA in Internal Business,Medium,0.5316542571575793,0,0,0,1
GERMANY,MBA in Supply Chain & Logistics Management,Medium,0.1936413929808407,0,0,0,1
GERMANY,MBA in General Management,Medium,0.0858413093472787,0,0,0,1
GERMANY,MBA in Global Business Management,Medium,-0.0235356682800564,0,0,0,1
GERMANY,MBA in Entrepreneurship & Leadership Management,Medium,-0.1803695975152615,0,0,0,1
GERMANY,MBA in Tourism,Medium,-0.2607586817095964,0,0,0,1
GERMANY,MBA in Business Engineer,Medium,-0.2755770279677573,0,0,0,1
GERMANY,MBA in Finance,Medium,-0.2331902193688519,0,0,0,1
GERMANY,MBA in Accounting,Medium,-0.2403004699213516,0,0,0,1
GERMANY,MBA in Project Management,Medium,-0.3467269159744104,0,0,0,1
GERMANY,MBA in E-Sports Management,Medium,-0.3197761575452424,0,0,0,1
GERMANY,MASTERS OF MANAGEMENT in Hotel Management,Medium,-0.3544782951016852,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Marketing,Medium,-0.4388894172969655,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Event Management,Low,-0.5584737559179874,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Luxury & Brand,Low,-0.6044902380629497,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,Medium,-0.5669705442129804,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in International Business ,Medium,-0.5876339916748722,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Supply Chain Management,Medium,-0.4138240856814918,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,Medium,-0.43350423754596,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Real Estate,High,0.3265478400854682,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Human Resource Management,Medium,0.0847561104909117,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Risk Management,Low,-0.2680608506030884,0,0,1,0
GERMANY,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",Low,-0.418615165612523,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,Medium,-0.4500503904251908,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Tourism,Medium,-0.4588626508665495,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Data Analysis,Medium,-0.3990692610737806,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Digital Marketing,Medium,-0.3572138882188421,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Fashion Management,High,0.049764292748688,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Media Management,Medium,-0.1184155145012284,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Psychology Management,Low,-0.5101662641965539,0,0,1,0
GERMANY,MASTERS OF MANAGEMENT in Public Relations Management,Medium,-0.4349817904047834,0,0,1,0
